ID,Call Duration,Call Frequency,Financial Loss,Flagged by Carrier,Is International,Previous Contact Count,Country Prefix,Call Type,Timestamp,Device Battery,Scam Call
432308,41,3,392.31,Suspicious,Yes,0,91,Mobile,2023-08-06 21:32:00,Charging,Scam
494842,346,18,82.3708209321504,Unlikely,Yes,3,7,Telegram,2023-11-08 14:42:00,Fully Charged,Not Scam
119036,284,7,0.0,Unlikely,Yes,0,MM,Voip,2023-04-24 12:04:00,Fully Charged,Not Scam
697895,-276,3,421.49,Suspicious,Yes,1,7,Mobile,2023-07-30 11:19:00,Not Charging,Scam
582208,29,4,0.0,Very Suspicious,Yes,3,1,Voip,2023-12-12 10:39:00,Charging,Not Scam
268363,110,11,0.0,Suspicious,Yes,3,91,Voip,2023-11-05 09:03:00,Charging,Scam
805490,29,3,77.36580159343448,Unlikely,Yes,1,91,Telegram,2023-01-27 04:37:00,Not Charging,Not Scam
511163,318,7,12.7912983553541,Unlikely,Yes,2,1,Voip,2023-07-22 10:19:00,Fully Charged,Not Scam
288780,48,4,0.0,Unlikely,Yes,0,1,WhatsApp,2024-01-15 09:00:00,Charging,Not Scam
597388,306,3,0.0,Unlikely,Yes,3,7,Voip,2023-07-08 03:04:00,Fully Charged,Not Scam
853687,-42,14,26.7702956028847,Unlikely,Yes,4,1,Whats App,2024-03-06 16:44:00,Charging,Not Scam
287990,127,11,376.26,Very Suspicious,Yes,4,44,Telegram,2023-05-31 21:12:00,Charging,Scam
863573,43,20,0.0,Unlikely,Yes,5,95,Mobile,2023-06-14 06:40:00,Charging,Scam
706841,-44,7,48.92,Unlikely,Yes,0,95,WhatsApp,2023-05-25 07:33:00,Charging,Scam
439883,30,17,0.0,Unlikely,Yes,0,91,Whats App,2024-02-04 21:20:00,Fully Charged,Not Scam
292765,45,10,77.36580159343448,Unlikely,Yes,5,91,Mobile,2023-03-06 16:35:00,Fully Charged,Not Scam
223517,35,16,0.0,Very Suspicious,Yes,1,1,Landline,2023-08-22 11:47:00,Fully Charged,Not Scam
957933,48,7,0.0,Unlikely,Yes,1,91,Landline,2023-11-02 17:49:00,Fully Charged,Scam
735704,59,9,11.6561055936739,Unlikely,Yes,0,7,Landline,2023-07-12 00:29:00,Not Charging,Not Scam
610382,-47,7,0.0,Suspicious,Yes,5,44,Whats App,2023-01-25 10:33:00,Charging,Not Scam
795341,-50,6,53.9782654441542,Unlikely,Yes,5,91,Landline,2023-05-07 10:54:00,Charging,Not Scam
323712,44,10,0.0,Very Suspicious,Yes,0,MM,Mobile,2023-12-15 01:27:00,Charging,Not Scam
550204,44,16,0.0,Unlikely,Yes,4,7,WhatsApp,2024-03-10 01:59:00,Not Charging,Not Scam
966827,36,11,-104.07,Unlikely,Yes,4,95,Telegram,2023-04-02 03:24:00,Fully Charged,Scam
144279,31,3,0.0,Unlikely,Yes,3,MM,Mobile,2023-04-10 23:08:00,Charging,Scam
130473,-42,4,0.0,Unlikely,Yes,0,7,Voip,2024-02-14 12:02:00,Fully Charged,Not Scam
960155,35,7,85.8156288068121,Unlikely,Yes,3,44,Mobile,2023-08-24 22:06:00,Fully Charged,Not Scam
890053,142,13,44.2167870419943,Unlikely,Yes,2,65,Voip,2023-11-15 06:57:00,Not Charging,Not Scam
226056,-291,20,5.22,Unlikely,Yes,5,95,Landline,2023-05-07 11:36:00,Not Charging,Scam
876793,49,4,28.5443372674677,Unlikely,Yes,0,1,Mobile,2023-11-22 03:29:00,Fully Charged,Not Scam
934201,127,7,0.0,Unlikely,Yes,1,44,Mobile,2023-07-23 03:55:00,Charging,Not Scam
251533,340,9,0.0,Unlikely,Yes,4,91,WhatsApp,2024-03-01 23:23:00,Charging,Scam
764698,-46,9,0.0,Unlikely,Yes,5,95,Whats App,2023-12-15 01:50:00,Not Charging,Scam
546020,28,4,456.8,Suspicious,Yes,6,7,Telegram,2023-10-29 10:18:00,Not Charging,Scam
870979,-99,20,77.36580159343448,Unlikely,No,0,65,Landline,2024-01-05 21:09:00,Not Charging,Not Scam
774896,-675,3,73.101352154265,Unlikely,Yes,1,1,Landline,2023-12-24 04:55:00,Not Charging,Not Scam
393338,-328,16,0.0,Unlikely,Yes,1,1,Whats App,2024-01-15 06:03:00,Not Charging,Not Scam
814725,114,7,21.1000755879703,Unlikely,Yes,1,65,Mobile,2023-07-19 12:52:00,Not Charging,Not Scam
429427,663,10,113.4,Unlikely,Yes,0,MM,Telegram,2024-02-17 20:20:00,Not Charging,Scam
404660,-342,4,-226.69,Unlikely,Yes,1,91,Landline,2023-04-20 22:39:00,Charging,Scam
